Competency outcomes,Assessment criteria
"1. Understand sampling,  probability theory,  and probability  distributions","Understand and apply different sampling techniques  and ways to avoid bias.
Understand the concepts of probability, conditional  probability, and the Bayes’ theorem.
Demonstrate knowledge of distributions such as the normal distribution and binomial distribution."
"2. Demonstrate  knowledge
of descriptive  statistical concepts","Identify definitions of central tendency and dispersion  (mean, median, mode, standard deviations).
Demonstrate knowledge about working with  categorical data vs. numerical data.
Recognize the difference between descriptive  and inferential statistics"
3. Demonstrate  knowledge of  inferential statistics,"Demonstrate understanding of the central limit theory  and confidence intervals.
Demonstrate the ability to develop and test hypothesis.
Understand inference for comparing means (ANOVA).
Understand inference for comparing proportions.
Articulate, and demonstrate knowledge of correlation  and regression.
Understand how to test and validate  assumptions for regression models.
Understand the impact of multicollinearity in regression.
Use a regression model to predict numeric values."
4. Demonstrate  knowledge of Python  programming skills,"Demonstrate the ability to build Python code using variables,  relational operators, logical operators, loops, and functions.
Read and write data from csv and json files.
Use data structures such as lists, tuples, sets,  and dictionaries.
Demonstrate knowledge of NumPy and SciPy libraries.
Learn to use Git repositories.
Demonstrate knowledge of Anaconda, and Jupyter notebooks."
5. Implement descriptive  and inferential  statistics using Python,"Understand use of histograms and box plots to understand  and visualize data distributions.
Master descriptive statistics Python code calculating mean,  median, mode, standard deviation, and percentiles;
and identifying outliers.
Use Python code to test hypothesis, calculate correlations  and to predict a continuous variable using regression.
Validate regression assumptions."
6. Demonstrate ability  to visualize data and  extract insights,"Demonstrate expertise with Python visualization libraries.
Demonstrate ability to visualize data for statistical analysis:  histograms, box plots.
Demonstrate ability to visualize data for insight sharing  with nontechnical users."
7. Demonstrate through  a project the ability to  analyze a dataset and  communicate insights,"Demonstrate the ability to complete a project using all skills  acquired up to this point: data exploration, descriptive and  inferential statistics, and data visualizations.
Build a report with findings.
Deliver a presentation sharing insights.
Demonstrate solid communication skills (written and verbal)."
8. Demonstrate  understanding of  what is data science  and what data  scientists do,"Articulate what are the benefits of using data science.
Articulate what a data scientist does and the value  of data scientists to an organization.
Understand some of the tools and the technology behind  data science (IBM DSX and others).
Articulate the value of data science in specific use cases."
9. Demonstrate ability  to characterize a  business problem,"Leverage business acumen to understand how to take  a business problem and put it into quantifiable form.
Collaborate with cross-functional stakeholders to identify  quantifiable improvements.
Define key business indicators and target improvement metrics."
"10. Demonstrate ability  to formulate
a business problem  as a hypothesis  question","Formulate business problem as a research question  with associated hypotheses.
Determine what data is needed to test the hypotheses.
Ensure hypotheses to be tested are aligned  with business value."
